Running from: C:\Program Files (x86)\Jenkins\jenkins.war
Jenkins home directory: C:\Program Files (x86)\Jenkins found at: EnvVars.masterEnvVars.get("JENKINS_HOME")
Running from: C:\Program Files (x86)\Jenkins\jenkins.war
Jenkins home directory: C:\Program Files (x86)\Jenkins found at: EnvVars.masterEnvVars.get("JENKINS_HOME")
[10/18/17 09:41:07] SSH Launch of tester_1 on shlufs06 completed in 9,827 ms
[10/18/17 09:41:14] SSH Launch of tester_1 on shlufs06 failed in 6,870 ms
[10/18/17 09:42:00] SSH Launch of tester_2 on shlufs06 completed in 8,105 ms
[10/18/17 09:42:06] SSH Launch of tester_2 on shlufs06 failed in 6,593 ms
[10/18/17 15:59:48] SSH Launch of tester_2 on shlufs06 failed in 1,054 ms
[10/18/17 15:59:48] SSH Launch of tester_1 on shlufs06 failed in 1,062 ms
[10/18/17 16:01:08] SSH Launch of tester_1 on shlufs06 failed in 21,043 ms
[10/18/17 16:01:08] SSH Launch of tester_2 on shlufs06 failed in 21,037 ms
[10/18/17 16:01:48] SSH Launch of tester_2 on shlufs06 failed in 1,513 ms
[10/18/17 16:01:48] SSH Launch of tester_1 on shlufs06 failed in 1,510 ms
[10/18/17 16:03:01] SSH Launch of tester_1 on shlufs06 completed in 13,838 ms
[10/18/17 16:07:42] SSH Launch of tester_2 on shlufs06 completed in 8,892 ms
[10/18/17 16:08:22] SSH Launch of tester_03 on shlufs06 completed in 8,043 ms
[10/18/17 16:08:29] SSH Launch of tester_03 on shlufs06 failed in 6,466 ms
[10/18/17 16:08:47] SSH Launch of tester_04 on shlufs06 completed in 8,498 ms
[10/18/17 16:08:53] SSH Launch of tester_04 on shlufs06 failed in 6,844 ms
[10/18/17 16:17:08] SSH Launch of tester_1 on shlufs06 failed in 21,021 ms
[10/18/17 16:17:08] SSH Launch of tester_04 on shlufs06 failed in 21,032 ms
[10/18/17 16:17:08] SSH Launch of tester_03 on shlufs06 failed in 21,044 ms
[10/18/17 16:17:08] SSH Launch of tester_2 on shlufs06 failed in 21,020 ms
[10/18/17 16:18:08] SSH Launch of tester_1 on shlufs06 failed in 21,005 ms
[10/18/17 16:18:08] SSH Launch of tester_03 on shlufs06 failed in 21,013 ms
[10/18/17 16:18:08] SSH Launch of tester_2 on shlufs06 failed in 21,004 ms
